Dataset,N,m,RMSE,Type
boston,100,0.0,0.5470004677772522,mll
boston,100,0.0,0.4480396807193756,mll
energy,600,0.75,0.11283110082149506,cmll
energy,600,0.75,0.08600892871618271,cmll
energy,600,0.75,0.11181632429361343,cmll
energy,600,0.75,0.23338361084461212,cmll
energy,600,0.75,0.1372620165348053,cmll
energy,600,0.75,0.15054979920387268,cmll
energy,600,0.75,0.07726788520812988,cmll
energy,600,0.75,0.1123419851064682,cmll
energy,600,0.75,0.09523972123861313,cmll
energy,600,0.75,0.11204774677753448,cmll
energy,600,0.9,0.13913939893245697,cmll
energy,600,0.9,0.17488302290439606,cmll
energy,600,0.9,0.21460872888565063,cmll
energy,600,0.9,0.1770663559436798,cmll
energy,600,0.9,0.1880669891834259,cmll
energy,600,0.9,0.15529169142246246,cmll
energy,600,0.9,0.1128837913274765,cmll
energy,600,0.9,0.19024880230426788,cmll
energy,600,0.9,0.14541101455688477,cmll
energy,600,0.9,0.1264132410287857,cmll
energy,400,0.9,0.2084231823682785,cmll
energy,400,0.9,0.22296249866485596,cmll
energy,400,0.9,0.12580130994319916,cmll
energy,400,0.9,0.17786143720149994,cmll
energy,400,0.9,0.18304236233234406,cmll
energy,400,0.9,0.12676294147968292,cmll
energy,400,0.9,0.12209775298833847,cmll
energy,400,0.9,0.19562342762947083,cmll
energy,400,0.9,0.2242991179227829,cmll
energy,400,0.9,0.16103561222553253,cmll
power,400,0.5,0.2712603509426117,cmll
power,400,0.5,0.26335474848747253,cmll
power,400,0.5,0.2805871367454529,cmll
power,400,0.5,0.2794336676597595,cmll
power,400,0.5,0.26531893014907837,cmll
power,400,0.5,0.2709410488605499,cmll
power,400,0.5,0.2667853534221649,cmll
power,400,0.5,0.2760885953903198,cmll
power,400,0.5,0.26484712958335876,cmll
power,400,0.5,0.273660272359848,cmll
boston,400,0.1,0.29216864705085754,cmll
boston,400,0.1,0.26328328251838684,cmll
boston,400,0.1,0.2693483233451843,cmll
boston,400,0.1,0.24133342504501343,cmll
boston,400,0.1,0.35558536648750305,cmll
boston,400,0.1,0.25046879053115845,cmll
boston,400,0.1,0.2788914144039154,cmll
boston,400,0.1,0.22147926688194275,cmll
boston,400,0.1,0.2759377956390381,cmll
boston,400,0.1,0.2594512403011322,cmll
boston,400,0.5,0.2526581287384033,cmll
boston,400,0.5,0.24962280690670013,cmll
boston,400,0.5,0.30002421140670776,cmll
boston,400,0.5,0.2378407120704651,cmll
boston,400,0.5,0.20523904263973236,cmll
boston,400,0.5,0.22847068309783936,cmll
boston,400,0.5,0.21857604384422302,cmll
boston,400,0.5,0.23645731806755066,cmll
boston,400,0.5,0.2217894047498703,cmll
boston,400,0.5,0.34883514046669006,cmll
winewhite,600,0.5,0.9640472531318665,cmll
winewhite,600,0.5,0.9287775158882141,cmll
winewhite,600,0.5,0.8692595958709717,cmll
winewhite,600,0.5,0.8883270621299744,cmll
winewhite,600,0.5,0.9185755252838135,cmll
winewhite,600,0.5,0.9445222020149231,cmll
winewhite,600,0.5,0.913885235786438,cmll
winewhite,600,0.5,0.9915001392364502,cmll
winewhite,600,0.5,0.9589532613754272,cmll
winewhite,600,0.5,0.8910071849822998,cmll
concrete,200,0.5,0.5063986778259277,cmll
concrete,200,0.5,0.5007826685905457,cmll
concrete,200,0.5,0.5181103348731995,cmll
concrete,200,0.5,0.554113507270813,cmll
concrete,200,0.5,0.5646070837974548,cmll
concrete,200,0.5,0.5114982724189758,cmll
concrete,200,0.5,0.46473684906959534,cmll
concrete,200,0.5,0.4750479757785797,cmll
concrete,200,0.5,0.5132081508636475,cmll
concrete,200,0.5,0.48365673422813416,cmll
power,600,0.0,0.261721134185791,mll
power,600,0.0,0.2683972120285034,mll
power,600,0.0,0.26530921459198,mll
power,600,0.0,0.26850083470344543,mll
power,600,0.0,0.2766573429107666,mll
power,600,0.0,0.27046483755111694,mll
power,600,0.0,0.26333853602409363,mll
power,600,0.0,0.2731423079967499,mll
power,600,0.0,0.2720118761062622,mll
power,600,0.0,0.2613827884197235,mll
energy,600,0.1,0.0830482468008995,cmll
energy,600,0.1,0.16764219105243683,cmll
energy,600,0.1,0.10951575636863708,cmll
energy,600,0.1,0.1239820271730423,cmll
energy,600,0.1,0.0831342563033104,cmll
energy,600,0.1,0.23103632032871246,cmll
energy,600,0.1,0.08694390207529068,cmll
energy,600,0.1,0.15089505910873413,cmll
energy,600,0.1,0.11278653144836426,cmll
energy,600,0.1,0.12730395793914795,cmll
power,400,0.1,0.2803037464618683,cmll
power,400,0.1,0.27199864387512207,cmll
power,400,0.1,0.27462038397789,cmll
power,400,0.1,0.2779982388019562,cmll
power,400,0.1,0.26746129989624023,cmll
power,400,0.1,0.27529171109199524,cmll
power,400,0.1,0.2715338170528412,cmll
power,400,0.1,0.26707345247268677,cmll
power,400,0.1,0.2729645073413849,cmll
power,400,0.1,0.2814251780509949,cmll
energy,200,0.1,0.3043023943901062,cmll
energy,200,0.1,0.19972385466098785,cmll
energy,200,0.1,0.1486186534166336,cmll
energy,200,0.1,0.25330013036727905,cmll
energy,200,0.1,0.274315744638443,cmll
energy,200,0.1,0.16849882900714874,cmll
energy,200,0.1,0.25229892134666443,cmll
energy,200,0.1,0.21972712874412537,cmll
energy,200,0.1,0.20069390535354614,cmll
energy,200,0.1,0.23421162366867065,cmll
power,100,0.1,0.3365270793437958,cmll
power,100,0.1,0.4371281564235687,cmll
power,100,0.1,0.3676607608795166,cmll
power,100,0.1,0.5137665867805481,cmll
power,100,0.1,0.35617172718048096,cmll
power,100,0.1,0.3349795937538147,cmll
power,100,0.1,0.40151098370552063,cmll
power,100,0.1,0.33372074365615845,cmll
power,100,0.1,0.49442368745803833,cmll
power,100,0.1,0.38044115900993347,cmll
winewhite,400,0.5,1.0176633596420288,cmll
winewhite,400,0.5,0.9644098877906799,cmll
winewhite,400,0.5,1.0412845611572266,cmll
winewhite,400,0.5,0.9727874994277954,cmll
winewhite,400,0.5,0.9190688133239746,cmll
winewhite,400,0.5,0.9653339982032776,cmll
winewhite,400,0.5,0.9152224063873291,cmll
winewhite,400,0.5,0.9491074085235596,cmll
winewhite,400,0.5,0.9858109951019287,cmll
winewhite,400,0.5,1.0334479808807373,cmll
power,200,0.0,0.3212232291698456,mll
power,200,0.0,0.28240105509757996,mll
power,200,0.0,0.28444960713386536,mll
power,200,0.0,0.2912933826446533,mll
power,200,0.0,0.3156789243221283,mll
power,200,0.0,0.2968061864376068,mll
power,200,0.0,0.28032568097114563,mll
power,200,0.0,0.27344265580177307,mll
power,200,0.0,0.27362799644470215,mll
power,200,0.0,0.2954312562942505,mll
winered,200,0.0,1.5401020050048828,mll
winered,200,0.0,2.1244957447052,mll
winered,200,0.0,0.9523841738700867,mll
winered,200,0.0,1.0621814727783203,mll
winered,200,0.0,1.9183791875839233,mll
winered,200,0.0,1.1225910186767578,mll
winered,200,0.0,1.0100297927856445,mll
winered,200,0.0,1.2340372800827026,mll
winered,200,0.0,1.701183557510376,mll
winered,200,0.0,1.028755784034729,mll
power,100,0.5,0.30302196741104126,cmll
power,100,0.5,0.418376088142395,cmll
power,100,0.5,0.33562222123146057,cmll
power,100,0.5,0.2737237215042114,cmll
power,100,0.5,0.3273475170135498,cmll
power,100,0.5,0.3079625368118286,cmll
power,100,0.5,0.36737388372421265,cmll
power,100,0.5,0.3411424458026886,cmll
power,100,0.5,0.28323760628700256,cmll
power,100,0.5,0.32143905758857727,cmll
boston,600,0.1,0.21923589706420898,cmll
boston,600,0.1,0.24419808387756348,cmll
boston,600,0.1,0.22988764941692352,cmll
boston,600,0.1,0.21155831217765808,cmll
boston,600,0.1,0.2298581898212433,cmll
boston,600,0.1,0.24604803323745728,cmll
boston,600,0.1,0.2440508008003235,cmll
boston,600,0.1,0.23017598688602448,cmll
boston,600,0.1,0.2621544897556305,cmll
boston,600,0.1,0.22332802414894104,cmll
boston,100,0.5,0.40102657675743103,cmll
boston,100,0.5,0.39008161425590515,cmll
boston,100,0.5,0.46137863397598267,cmll
boston,100,0.5,0.39649808406829834,cmll
boston,100,0.5,0.3011248707771301,cmll
boston,100,0.5,0.35533037781715393,cmll
boston,100,0.5,0.36245569586753845,cmll
boston,100,0.5,0.38617509603500366,cmll
boston,100,0.5,0.39238664507865906,cmll
boston,100,0.5,0.377162367105484,cmll
concrete,200,0.0,0.42924198508262634,mll
concrete,200,0.0,0.4638901650905609,mll
concrete,200,0.0,0.47099587321281433,mll
concrete,200,0.0,0.48494693636894226,mll
concrete,200,0.0,0.4638240933418274,mll
concrete,200,0.0,0.5210664868354797,mll
concrete,200,0.0,0.4808797538280487,mll
concrete,200,0.0,0.5230140686035156,mll
concrete,200,0.0,0.4228951632976532,mll
concrete,200,0.0,0.484114408493042,mll
power,200,0.75,0.2895405888557434,cmll
power,200,0.75,0.27877092361450195,cmll
power,200,0.75,0.2739514708518982,cmll
power,200,0.75,0.28620457649230957,cmll
power,200,0.75,0.2837710976600647,cmll
power,200,0.75,0.2905464172363281,cmll
power,200,0.75,0.27552738785743713,cmll
power,200,0.75,0.2759256660938263,cmll
power,200,0.75,0.2769068777561188,cmll
power,200,0.75,0.27410465478897095,cmll
winered,600,0.0,0.8926612734794617,mll
winered,600,0.0,0.9744629263877869,mll
winered,600,0.0,0.952186107635498,mll
winered,600,0.0,0.9706375002861023,mll
winered,600,0.0,0.9109392166137695,mll
winered,600,0.0,0.9237105846405029,mll
winered,600,0.0,0.9558701515197754,mll
winered,600,0.0,0.9181347489356995,mll
winered,600,0.0,0.9134559631347656,mll
winered,600,0.0,0.9194968342781067,mll
power,600,0.9,0.26910462975502014,cmll
power,600,0.9,0.2727927267551422,cmll
power,600,0.9,0.26488471031188965,cmll
power,600,0.9,0.26522016525268555,cmll
power,600,0.9,0.2612236738204956,cmll
power,600,0.9,0.263314813375473,cmll
power,600,0.9,0.2653283178806305,cmll
power,600,0.9,0.26450616121292114,cmll
power,600,0.9,0.2663528621196747,cmll
power,600,0.9,0.269109845161438,cmll
concrete,400,0.0,0.48947691917419434,mll
concrete,400,0.0,0.41174325346946716,mll
concrete,400,0.0,0.4344967007637024,mll
concrete,400,0.0,0.4611237347126007,mll
concrete,400,0.0,0.41155529022216797,mll
concrete,400,0.0,0.478633850812912,mll
concrete,400,0.0,0.44072437286376953,mll
concrete,400,0.0,0.47687289118766785,mll
concrete,400,0.0,0.44582709670066833,mll
concrete,400,0.0,0.41543617844581604,mll
winered,100,0.5,0.9680135846138,cmll
winered,100,0.5,1.0213565826416016,cmll
winered,100,0.5,1.0209250450134277,cmll
winered,100,0.5,1.4781547784805298,cmll
winered,100,0.5,0.9198799133300781,cmll
winered,100,0.5,1.1290645599365234,cmll
winered,100,0.5,1.0643587112426758,cmll
winered,100,0.5,1.063096046447754,cmll
winered,100,0.5,1.0019522905349731,cmll
winered,100,0.5,1.049942135810852,cmll
winered,200,0.75,0.8961891531944275,cmll
winered,200,0.75,0.87233567237854,cmll
winered,200,0.75,0.8191388845443726,cmll
winered,200,0.75,0.840715229511261,cmll
winered,200,0.75,0.9072462916374207,cmll
winered,200,0.75,0.8697316646575928,cmll
winered,200,0.75,0.9070312976837158,cmll
winered,200,0.75,0.862230122089386,cmll
winered,200,0.75,1.0846863985061646,cmll
winered,200,0.75,0.8921809196472168,cmll
concrete,400,0.9,0.48380008339881897,cmll
concrete,400,0.9,0.4943931996822357,cmll
concrete,400,0.9,0.4547559916973114,cmll
concrete,400,0.9,0.49105924367904663,cmll
concrete,400,0.9,0.4265623092651367,cmll
concrete,400,0.9,0.4675074517726898,cmll
concrete,400,0.9,0.4276883900165558,cmll
concrete,400,0.9,0.5111231803894043,cmll
concrete,400,0.9,0.47196558117866516,cmll
concrete,400,0.9,0.43348509073257446,cmll
concrete,400,0.0,0.4758179187774658,mll
concrete,400,0.0,0.40984341502189636,mll
concrete,400,0.0,0.43490666151046753,mll
concrete,400,0.0,0.3948761820793152,mll
concrete,400,0.0,0.3993658125400543,mll
concrete,400,0.0,0.4150688350200653,mll
concrete,400,0.0,0.4554246664047241,mll
concrete,400,0.0,0.42799514532089233,mll
concrete,400,0.0,0.41854387521743774,mll
concrete,400,0.0,0.4258977472782135,mll
concrete,200,0.0,0.5264938473701477,mll
concrete,200,0.0,0.5222777724266052,mll
concrete,200,0.0,0.49550727009773254,mll
concrete,200,0.0,0.6078847050666809,mll
concrete,200,0.0,0.49360519647598267,mll
concrete,200,0.0,0.496660053730011,mll
concrete,200,0.0,0.4825581908226013,mll
concrete,200,0.0,0.4805104434490204,mll
concrete,200,0.0,0.4574422836303711,mll
concrete,200,0.0,0.4800654351711273,mll
winewhite,200,0.75,0.9384355545043945,cmll
winewhite,200,0.75,1.0194416046142578,cmll
winewhite,200,0.75,1.0540262460708618,cmll
winewhite,200,0.75,1.045315146446228,cmll
winewhite,200,0.75,0.9046360850334167,cmll
winewhite,200,0.75,0.9660156965255737,cmll
winewhite,200,0.75,0.9232949018478394,cmll
winewhite,200,0.75,0.9470973014831543,cmll
winewhite,200,0.75,0.8603715300559998,cmll
winewhite,200,0.75,0.9835454821586609,cmll
winewhite,600,0.1,0.9816700220108032,cmll
winewhite,600,0.1,0.9917653203010559,cmll
winewhite,600,0.1,1.0167866945266724,cmll
winewhite,600,0.1,1.0801812410354614,cmll
winewhite,600,0.1,0.9985254406929016,cmll
winewhite,600,0.1,0.9888182282447815,cmll
winewhite,600,0.1,0.9951993823051453,cmll
winewhite,600,0.1,0.9646974205970764,cmll
winewhite,600,0.1,1.051815152168274,cmll
winewhite,600,0.1,0.9743177890777588,cmll
winered,400,0.0,1.0814279317855835,mll
winered,400,0.0,1.0050824880599976,mll
winered,400,0.0,1.1983628273010254,mll
winered,400,0.0,0.9939802885055542,mll
winered,400,0.0,1.4574000835418701,mll
winered,400,0.0,0.975915253162384,mll
winered,400,0.0,0.9677078723907471,mll
winered,400,0.0,1.0809025764465332,mll
winered,400,0.0,1.0179378986358643,mll
winered,400,0.0,1.1212106943130493,mll
boston,400,0.0,0.24201492965221405,mll
boston,400,0.0,0.2925722002983093,mll
boston,400,0.0,0.2558698356151581,mll
boston,400,0.0,0.25807178020477295,mll
boston,400,0.0,0.30059823393821716,mll
boston,400,0.0,0.2734251022338867,mll
boston,400,0.0,0.25410354137420654,mll
boston,400,0.0,0.2738797962665558,mll
boston,400,0.0,0.2763921320438385,mll
boston,400,0.0,0.29559463262557983,mll
winered,400,0.1,0.9852629899978638,cmll
winered,400,0.1,1.2490607500076294,cmll
winered,400,0.1,0.9278271198272705,cmll
winered,400,0.1,1.0483063459396362,cmll
winered,400,0.1,1.0113023519515991,cmll
winered,400,0.1,1.3958032131195068,cmll
winered,400,0.1,1.2854819297790527,cmll
winered,400,0.1,0.9233441948890686,cmll
winered,400,0.1,1.1131991147994995,cmll
winered,400,0.1,1.058631181716919,cmll
winewhite,200,0.1,1.112744688987732,cmll
winewhite,200,0.1,1.0778162479400635,cmll
winewhite,200,0.1,1.2306897640228271,cmll
winewhite,200,0.1,1.0839347839355469,cmll
winewhite,200,0.1,1.0178989171981812,cmll
winewhite,200,0.1,1.1302047967910767,cmll
winewhite,200,0.1,1.0516260862350464,cmll
winewhite,200,0.1,1.0894975662231445,cmll
winewhite,200,0.1,1.1770225763320923,cmll
winewhite,200,0.1,1.024967074394226,cmll
energy,100,0.5,0.2801230847835541,cmll
energy,100,0.5,0.293942928314209,cmll
energy,100,0.5,0.2714713215827942,cmll
energy,100,0.5,0.3118613660335541,cmll
energy,100,0.5,0.2790714204311371,cmll
energy,100,0.5,0.258613258600235,cmll
energy,100,0.5,0.22527016699314117,cmll
energy,100,0.5,0.26189953088760376,cmll
energy,100,0.5,0.22227317094802856,cmll
energy,100,0.5,0.23302330076694489,cmll
concrete,400,0.1,0.4307253956794739,cmll
concrete,400,0.1,0.4302205443382263,cmll
concrete,400,0.1,0.40385106205940247,cmll
concrete,400,0.1,0.4947461187839508,cmll
concrete,400,0.1,0.38979414105415344,cmll
concrete,400,0.1,0.40484142303466797,cmll
concrete,400,0.1,0.42652198672294617,cmll
concrete,400,0.1,0.5098360180854797,cmll
concrete,400,0.1,0.3965875804424286,cmll
concrete,400,0.1,0.4109092950820923,cmll
boston,200,0.1,0.5073248147964478,cmll
boston,200,0.1,0.3782147765159607,cmll
boston,200,0.1,0.32470402121543884,cmll
boston,200,0.1,0.3207753300666809,cmll
boston,200,0.1,0.2819456160068512,cmll
boston,200,0.1,0.3674238324165344,cmll
boston,200,0.1,0.3931010067462921,cmll
boston,200,0.1,0.3126317858695984,cmll
boston,200,0.1,0.300675630569458,cmll
boston,200,0.1,0.3256801962852478,cmll
winewhite,200,0.0,1.227972388267517,mll
winewhite,200,0.0,1.0300581455230713,mll
winewhite,200,0.0,1.17215895652771,mll
winewhite,200,0.0,1.1582292318344116,mll
winewhite,200,0.0,1.038201928138733,mll
winewhite,200,0.0,1.3881428241729736,mll
winewhite,200,0.0,1.1509772539138794,mll
winewhite,200,0.0,1.285604476928711,mll
winewhite,200,0.0,1.1285853385925293,mll
winewhite,200,0.0,1.073509693145752,mll
winewhite,200,0.5,1.0269601345062256,cmll
winewhite,200,0.5,0.9325522780418396,cmll
winewhite,200,0.5,1.1319243907928467,cmll
winewhite,200,0.5,1.0756607055664062,cmll
winewhite,200,0.5,1.0259596109390259,cmll
winewhite,200,0.5,0.9490338563919067,cmll
winewhite,200,0.5,1.035502314567566,cmll
winewhite,200,0.5,0.9714134931564331,cmll
winewhite,200,0.5,1.0203406810760498,cmll
winewhite,200,0.5,1.0373777151107788,cmll
power,600,0.5,0.263958603143692,cmll
power,600,0.5,0.2651253938674927,cmll
power,600,0.5,0.266236811876297,cmll
power,600,0.5,0.2586044669151306,cmll
power,600,0.5,0.2659573554992676,cmll
power,600,0.5,0.26080355048179626,cmll
power,600,0.5,0.2616039216518402,cmll
power,600,0.5,0.263187974691391,cmll
power,600,0.5,0.26408401131629944,cmll
power,600,0.5,0.26807883381843567,cmll
boston,600,0.0,0.1693197339773178,mll
boston,600,0.0,0.2268105447292328,mll
boston,600,0.0,0.22871017456054688,mll
boston,600,0.0,0.21737591922283173,mll
boston,600,0.0,0.21266046166419983,mll
boston,600,0.0,0.2338133156299591,mll
boston,600,0.0,0.24929070472717285,mll
boston,600,0.0,0.2934849262237549,mll
boston,600,0.0,0.23393844068050385,mll
boston,600,0.0,0.24431172013282776,mll
